mls_id,status,property_type,list_price,address,city,state,zip_code,district,bedrooms,bathrooms,living_area,piccount
341395,CXL,SF,299000.0,487 Kalalau PL,KIHEI,HI,96753,Kihei,6,2.5,2416,22
343920,EXP,SF,299000.0,125 ALIILANI PL,KIHEI,HI,96753,Kihei,2,2.0,2412,2
343536,SLD,SF,299000.0,307 Hoalike ST,KIHEI,HI,96753,Kihei,3,1.5,984,16
350941,SLD,SF,299500.0,273 Kaiwahine ST,KIHEI,HI,96753,Kihei,3,2.0,960,26
312185,CXL,SF,299500.0,162 Kukulu PL,KIHEI,HI,96753,Kihei,3,1.0,864,0
345636,SLD,SF,299900.0,430 Kinaole CIR,KIHEI,HI,96753,Kihei,3,2.0,1017,7
348275,SLD,SF,299900.0,291 Pakalana PL,KIHEI,HI,96753,Kihei,5,2.0,1352,13
348531,SLD,SF,299900.0,106 Pauloa PL,KIHEI,HI,96753,Kihei,5,4.0,2422,6
345981,EXP,SF,299900.0,277 WAINOHIA ST,KIHEI,HI,96753,Kihei,3,3.0,1149,2
342595,CXL,SF,299900.0,569 PAPAU,KIHEI,HI,96753,Kihei,5,4.0,1964,18
332872,SLD,SF,299900.0,126  E LIPOA,KIHEI,HI,96753,Kihei,3,1.5,1056,14
349543,SLD,SF,299900.0,331 KAIOLOHIA ST,KIHEI,HI,96753,Kihei,3,3.0,2236,5
339273,SLD,SF,299999.0,24 LAUMAEWA Loop,KIHEI,HI,96753,Kihei,2,2.0,1030,4
345229,SLD,SF,300000.0,1114 Kahaapo Loop,KIHEI,HI,96753,Kihei,2,1.0,594,13
340267,CXL,SF,300000.0,81  E WAIPUILANI RD,KIHEI,HI,96753,Kihei,3,2.0,1848,5
345312,SLD,SF,300000.0,1147 Kahaapo Loop,KIHEI,HI,96753,Kihei,2,1.0,594,15
361979,SLD,SF,300000.0,487 Kalalau Pl,KIHEI,HI,96753,Kihei,6,2.0,1916,1
345215,SLD,SF,301800.0,393 Kaiolohia ST,KIHEI,HI,96753,Kihei,3,2.0,960,5
344166,SLD,SF,302000.0,55 Konale PL,KIHEI,HI,96753,Kihei,4,3.0,1488,7
302774,WDN,SF,305000.0,14 Kuapapa PL,KIHEI,HI,96753,Kihei,4,1.5,1056,0
